Wavelength,Flux,BestFit,SkyFlux
3966.432,33.215,30.473,4.971
3967.345,25.545,30.684,4.949
3968.259,28.143,30.875,4.628
3969.173,35.949,31.037,4.483
3970.087,29.548,31.396,4.696
3971.001,35.781,31.490,4.879
3971.915,34.445,31.392,4.796
3972.830,30.521,31.510,4.963
3973.745,28.502,31.444,5.622
3974.660,27.960,31.718,6.451
3975.575,32.746,31.803,6.993
3976.491,33.473,31.792,7.116
3977.407,31.354,31.879,7.185
3978.323,31.128,31.974,7.776
3979.239,33.088,31.921,8.610
3980.155,29.133,32.220,8.835
3981.072,32.264,32.388,8.310
3981.988,33.880,32.501,7.595
3982.905,33.951,32.677,7.181
3983.823,36.305,32.845,7.340
3984.740,33.479,32.977,7.623
3985.658,35.746,32.861,7.537
3986.576,34.690,32.680,7.049
3987.494,32.536,32.851,7.160
3988.412,36.389,33.326,7.769
3989.330,34.973,33.631,7.790
3990.249,36.424,33.637,6.942
3991.168,39.600,33.973,6.059
3992.087,36.884,33.825,5.998
3993.006,36.270,33.818,6.695
3993.926,44.637,34.156,7.450
3994.846,39.702,34.505,7.672
3995.766,37.178,35.257,7.183
3996.686,34.866,35.191,6.611
3997.606,36.787,35.264,6.453
3998.527,35.873,35.340,6.554
3999.447,34.334,35.402,7.096
4000.369,35.590,35.741,8.074
4001.290,36.986,35.892,8.635
4002.211,36.923,35.807,8.184
4003.133,37.846,35.805,7.270
4004.055,36.501,36.253,6.601
4004.977,37.141,36.740,6.484
4005.899,40.368,36.683,6.763
4006.822,33.888,36.730,7.410
4007.744,38.339,37.084,8.375
4008.667,41.975,37.234,9.395
4009.590,41.283,37.336,10.106
4010.514,40.482,37.430,10.096
4011.437,38.460,37.382,9.563
4012.361,38.313,37.492,9.098
4013.285,37.222,37.714,9.262
4014.209,39.120,38.441,9.601
4015.134,44.060,38.983,9.355
4016.058,39.614,38.985,8.550
4016.983,38.247,38.989,8.176
4017.908,39.977,39.551,8.420
4018.833,39.049,39.659,8.941
4019.759,39.033,40.149,9.374
4020.685,41.281,40.413,9.614
4021.610,40.053,40.471,9.680
4022.537,43.357,41.027,9.400
4023.463,40.593,41.470,8.971
4024.389,42.916,41.393,8.960
4025.316,41.569,41.740,9.346
4026.243,35.991,42.086,9.021
4027.170,41.418,42.153,7.834
4028.098,48.739,42.289,7.235
4029.025,48.854,42.584,7.835
4029.953,49.763,42.916,8.443
4030.881,51.742,43.429,7.793
4031.809,47.314,43.722,7.115
4032.738,47.051,43.961,7.188
4033.667,48.766,44.543,7.276
4034.596,46.515,44.809,7.510
4035.525,53.199,45.059,7.878
4036.454,45.591,45.790,8.130
4037.383,43.618,46.092,8.142
4038.313,49.143,46.057,8.325
4039.243,42.438,46.487,8.852
4040.173,53.119,46.653,8.748
4041.104,48.437,47.085,8.358
4042.034,45.114,47.888,9.312
4042.965,42.795,48.432,10.786
4043.896,47.181,48.749,10.589
4044.827,51.889,49.147,10.741
4045.759,49.652,48.967,13.385
4046.691,49.110,49.403,18.161
4047.622,50.861,49.856,21.404
4048.555,49.520,50.381,19.652
4049.487,51.760,50.919,14.546
4050.419,53.760,51.127,11.104
4051.352,50.130,51.189,9.716
4052.285,49.282,51.568,8.888
4053.218,54.483,51.408,8.302
4054.152,52.049,51.410,8.015
4055.085,50.160,51.707,8.274
4056.019,50.453,51.737,8.627
4056.953,51.291,51.995,8.481
4057.887,52.272,52.496,8.024
4058.822,50.399,52.602,8.064
4059.757,51.476,52.393,8.791
4060.692,50.090,52.296,9.687
4061.627,47.872,52.263,9.524
4062.562,44.904,51.412,9.176
4063.498,46.918,50.625,9.486
4064.433,50.008,50.503,9.938
4065.369,51.594,50.515,10.405
4066.305,51.332,50.295,10.580
4067.242,47.385,49.884,10.205
4068.178,44.009,49.069,9.535
4069.115,49.545,47.879,9.078
4070.052,47.381,47.547,9.130
4070.990,43.640,47.039,9.465
4071.927,45.638,46.107,9.600
4072.865,42.650,45.660,9.093
4073.803,41.532,45.462,8.355
4074.741,42.147,45.220,8.195
4075.679,42.987,44.347,9.254
4076.618,45.544,43.222,10.960
4077.557,45.396,42.505,11.833
4078.496,39.982,42.304,10.753
4079.435,42.521,41.852,9.720
4080.374,39.828,41.528,10.757
4081.314,40.731,41.334,11.417
4082.254,41.898,40.955,10.468
4083.194,39.908,40.375,9.567
4084.134,38.429,39.902,8.763
4085.075,37.844,39.651,8.319
4086.015,39.648,39.399,8.703
4086.956,41.235,39.235,9.446
4087.898,35.695,38.992,9.143
4088.839,42.031,38.476,8.194
4089.781,41.242,37.850,8.323
4090.722,38.583,37.689,9.016
4091.664,35.685,37.431,8.830
4092.607,36.306,37.250,8.291
4093.549,37.850,37.018,8.074
4094.492,36.980,36.734,8.218
4095.435,34.602,36.465,8.154
4096.378,35.321,35.927,7.672
4097.321,39.116,35.657,7.283
4098.265,39.323,35.710,7.480
4099.208,40.443,35.489,7.895
4100.152,36.221,35.080,7.830
4101.097,37.466,35.011,7.441
4102.041,37.907,34.897,6.867
4102.986,34.578,34.583,6.382
4103.931,34.794,34.555,6.296
4104.876,36.392,34.496,6.526
4105.821,35.032,34.186,6.684
4106.766,34.311,33.814,6.624
4107.712,33.282,33.512,6.793
4108.658,33.289,33.373,7.571
4109.604,31.273,33.120,8.329
4110.551,28.677,33.038,8.471
4111.497,31.895,33.010,7.887
4112.444,29.994,32.742,7.047
4113.391,30.188,32.769,6.583
4114.338,33.859,32.726,6.889
4115.286,34.179,32.668,7.777
4116.233,31.786,32.531,8.200
4117.181,32.025,32.334,7.439
4118.130,33.386,32.244,6.651
4119.078,27.217,32.288,6.718
4120.026,32.665,31.912,7.016
4120.975,28.086,31.942,7.279
4121.924,30.319,31.924,7.558
4122.873,29.697,31.654,8.038
4123.823,31.382,31.552,8.482
4124.772,33.955,31.570,8.457
4125.722,31.238,31.363,8.133
4126.672,30.320,31.134,8.136
4127.623,26.961,31.132,8.691
4128.573,29.128,31.099,8.639
4129.524,29.528,30.756,7.953
4130.475,29.307,30.717,7.469
4131.426,26.828,30.772,7.742
4132.378,31.522,30.674,8.153
4133.329,30.853,30.589,8.323
4134.281,29.443,30.545,8.240
4135.233,31.627,30.469,8.204
4136.185,29.451,30.537,8.704
4137.138,27.929,30.227,9.378
4138.091,26.967,30.103,8.865
4139.044,32.482,30.128,8.096
4139.997,32.678,30.079,8.544
4140.950,30.276,29.902,9.051
4141.904,26.826,29.708,8.439
4142.858,29.070,29.839,7.507
4143.812,29.720,29.839,7.103
4144.766,27.653,29.768,7.443
4145.720,28.367,29.755,7.999
4146.675,30.187,29.741,8.251
4147.630,30.148,29.644,8.147
4148.585,26.012,29.434,7.798
4149.540,29.968,29.480,7.030
4150.496,32.244,29.536,6.807
4151.452,29.932,29.515,6.982
4152.408,28.314,29.461,7.006
4153.364,27.691,29.044,7.008
4154.321,29.637,29.103,7.378
4155.277,29.542,29.118,8.621
4156.234,28.168,29.097,9.779
4157.191,31.288,29.101,10.004
4158.149,26.981,29.075,9.217
4159.106,28.715,29.140,8.763
4160.064,31.102,28.966,8.956
4161.022,26.177,28.933,9.959
4161.980,26.738,29.041,10.439
4162.939,26.777,29.122,10.064
4163.897,27.748,29.003,9.926
4164.856,28.962,28.624,10.855
4165.815,27.894,28.779,11.864
4166.775,27.381,28.864,11.429
4167.734,28.404,28.741,11.445
4168.694,27.175,28.708,11.401
4169.654,29.172,28.844,11.201
4170.614,23.805,28.603,11.301
4171.574,23.679,28.535,10.404
4172.535,24.913,28.586,9.944
4173.496,23.906,28.641,10.137
4174.457,28.592,28.509,10.146
4175.418,27.074,28.282,9.659
4176.380,21.860,28.608,9.562
4177.342,27.420,28.492,9.629
4178.304,27.446,28.439,9.098
4179.266,28.759,28.385,9.181
4180.228,28.508,28.410,9.534
4181.191,27.493,28.673,9.199
4182.154,26.250,28.585,8.786
4183.117,24.403,28.393,8.271
4184.080,24.715,28.217,7.848
4185.044,26.069,28.320,8.003
4186.007,25.880,28.505,8.561
4186.971,26.026,28.376,8.363
4187.936,28.820,28.238,7.419
4188.900,29.546,28.289,6.809
4189.865,27.723,28.432,7.137
4190.830,29.314,28.447,7.589
4191.795,26.914,28.322,7.959
4192.760,31.095,28.260,8.070
4193.725,27.998,28.385,8.551
4194.691,26.740,28.437,8.668
4195.657,26.817,28.214,7.924
4196.623,28.137,28.095,7.226
4197.590,29.799,28.251,7.202
4198.556,28.038,28.398,7.163
4199.523,29.632,28.279,6.993
4200.490,24.349,28.278,7.317
4201.458,26.899,28.320,7.777
4202.425,26.999,28.343,7.164
4203.393,28.157,28.297,6.615
4204.361,30.748,28.170,6.534
4205.329,28.335,28.083,6.634
4206.298,26.044,28.059,7.190
4207.266,26.948,28.082,7.967
4208.235,26.431,28.053,8.621
4209.204,25.147,28.008,8.892
4210.174,27.718,28.112,8.410
4211.143,27.806,28.319,7.504
4212.113,25.328,28.059,7.008
4213.083,30.411,28.229,7.116
4214.053,28.169,28.440,7.440
4215.023,24.784,28.414,7.705
4215.994,26.393,28.408,7.509
4216.965,26.463,28.359,7.501
4217.936,27.650,28.301,7.742
4218.907,28.522,28.230,7.622
4219.879,24.301,28.176,7.008
4220.851,27.678,28.190,6.461
4221.823,27.292,28.218,6.956
4222.795,28.432,28.082,7.800
4223.767,30.379,28.223,7.405
4224.740,27.016,28.545,7.047
4225.713,24.589,28.441,7.619
4226.686,24.950,28.183,7.681
4227.659,29.158,28.403,6.734
4228.633,28.402,28.386,6.389
4229.607,24.877,28.272,7.158
4230.581,28.051,28.131,7.848
4231.555,27.743,28.135,7.525
4232.530,26.867,28.253,7.400
4233.504,25.094,28.281,7.667
4234.479,26.165,28.232,7.757
4235.454,31.171,28.314,8.401
4236.430,29.794,28.205,9.061
4237.405,27.687,28.235,8.621
4238.381,29.935,28.357,7.305
4239.357,28.875,28.240,6.910
4240.333,26.051,28.299,7.237
4241.310,27.683,28.364,6.962
4242.287,27.339,28.112,6.800
4243.263,29.675,28.064,7.472
4244.241,31.181,28.307,6.688
4245.218,32.415,28.367,6.283
4246.196,23.035,28.225,8.054
4247.173,26.675,28.018,9.508
4248.152,27.195,28.186,9.306
4249.130,27.584,28.194,8.585
4250.108,28.981,28.026,8.168
4251.087,27.995,28.230,8.216
4252.066,26.541,28.498,8.373
4253.045,26.607,28.161,8.520
4254.025,30.158,28.091,8.560
4255.004,29.233,28.221,8.676
4255.984,25.328,28.306,8.802
4256.964,29.383,28.325,8.483
4257.945,30.665,28.191,8.245
4258.925,27.662,28.212,8.286
4259.906,29.004,28.176,8.109
4260.887,26.581,28.102,7.666
4261.868,27.226,28.084,7.387
4262.849,30.914,28.155,7.500
4263.831,27.069,28.280,7.834
4264.813,28.975,28.265,8.616
4265.795,26.127,28.188,9.300
4266.778,27.501,28.139,9.131
4267.760,26.895,28.150,8.412
4268.743,27.820,28.119,8.164
4269.726,27.689,27.893,8.539
4270.709,29.835,28.179,8.786
4271.693,28.026,28.442,8.516
4272.676,28.412,28.341,8.262
4273.660,30.601,28.169,8.294
4274.644,28.695,28.307,8.470
4275.629,29.050,28.344,9.051
4276.613,30.149,28.302,10.035
4277.598,29.033,28.355,10.507
4278.583,28.539,28.314,10.409
4279.569,26.150,28.215,9.258
4280.554,26.517,28.243,7.936
4281.540,26.853,28.194,7.376
4282.526,28.944,28.364,7.572
4283.512,29.361,28.273,7.731
4284.499,27.709,28.286,7.458
4285.485,26.244,28.438,7.110
4286.472,26.804,28.423,7.205
4287.459,29.063,28.577,7.466
4288.447,25.147,28.402,7.165
4289.434,29.231,28.546,6.337
4290.422,31.716,28.636,6.322
4291.410,30.102,28.328,6.990
4292.398,26.206,28.031,7.526
4293.387,25.982,28.412,7.542
4294.375,27.799,28.453,7.595
4295.364,27.935,28.449,7.781
4296.353,29.831,28.518,7.619
4297.343,30.517,28.511,7.439
4298.332,26.570,28.384,7.396
4299.322,29.969,28.448,7.167
4300.312,28.660,28.394,7.150
4301.303,30.666,28.375,6.817
4302.293,26.756,28.047,6.432
4303.284,26.591,27.766,6.598
4304.275,26.569,28.045,6.762
4305.266,26.893,27.902,6.395
4306.258,28.516,27.776,6.065
4307.249,28.351,27.737,6.354
4308.241,25.715,27.758,7.092
4309.233,24.817,27.705,7.507
4310.226,26.522,27.489,7.275
4311.218,27.002,27.359,6.941
4312.211,28.426,27.468,6.843
4313.204,28.125,27.450,7.360
4314.197,27.579,27.255,8.670
4315.191,27.690,27.152,9.656
4316.184,26.542,27.272,9.833
4317.178,27.885,27.191,9.606
4318.173,24.930,27.226,9.590
4319.167,25.703,27.247,9.450
4320.162,29.559,27.159,8.912
4321.157,27.654,27.017,8.600
4322.152,26.870,26.927,8.978
4323.147,27.395,26.893,8.846
4324.143,28.454,27.104,7.658
4325.138,24.328,27.052,7.349
4326.134,25.548,26.997,7.247
4327.131,26.820,27.012,7.496
4328.127,25.699,26.866,7.874
4329.124,27.339,26.772,7.609
4330.121,27.332,26.729,6.882
4331.118,26.626,26.698,6.852
4332.115,27.401,26.768,7.755
4333.113,27.145,26.843,7.606
4334.111,26.618,26.726,7.101
4335.109,27.077,26.578,7.284
4336.107,24.335,26.782,8.005
4337.106,26.817,26.928,7.795
4338.104,25.588,27.018,7.023
4339.103,27.623,27.002,7.107
4340.103,24.801,26.842,7.181
4341.102,27.493,26.968,7.128
4342.102,26.730,26.871,7.327
4343.102,25.476,26.770,7.583
4344.102,27.516,26.770,7.745
4345.102,27.527,26.839,7.740
4346.103,26.691,26.870,7.500
4347.104,26.885,26.743,7.909
4348.105,28.810,26.747,9.128
4349.106,26.138,26.690,9.706
4350.108,26.526,26.656,9.860
4351.109,26.819,26.707,8.842
4352.111,26.399,26.751,7.736
4353.114,25.341,26.722,7.467
4354.116,27.929,26.639,7.304
4355.119,29.269,26.963,7.682
4356.122,26.203,27.036,8.712
4357.125,26.441,26.838,12.615
4358.128,28.974,26.978,23.057
4359.132,24.970,27.025,35.268
4360.136,29.778,26.677,33.700
4361.140,23.231,26.627,21.149
4362.144,26.274,26.777,12.732
4363.149,25.970,26.876,10.396
4364.153,27.613,26.876,9.289
4365.158,27.033,26.719,9.013
4366.164,26.712,26.571,8.819
4367.169,26.804,26.649,8.150
4368.175,27.268,26.732,8.180
4369.181,26.795,26.782,8.613
4370.187,25.716,26.848,8.112
4371.193,28.021,26.575,7.829
4372.200,26.036,26.559,8.291
4373.207,23.938,26.499,8.222
4374.214,28.501,26.445,8.392
4375.221,28.058,26.443,8.359
4376.229,24.293,26.402,8.548
4377.236,26.190,26.373,8.902
4378.244,28.897,26.268,8.897
4379.253,26.940,26.108,8.485
4380.261,23.174,26.238,8.235
4381.270,23.746,26.381,8.201
4382.279,26.264,26.052,7.974
4383.288,25.624,25.888,7.413
4384.297,26.635,25.960,6.903
4385.307,26.132,25.845,6.697
4386.317,27.373,25.801,7.126
4387.327,24.677,25.835,8.094
4388.337,22.808,25.682,7.953
4389.348,23.495,25.670,7.058
4390.359,25.093,25.757,6.669
4391.370,24.045,25.672,6.826
4392.381,25.181,25.505,7.386
4393.392,25.558,25.457,8.103
4394.404,24.348,25.514,8.285
4395.416,26.049,25.369,7.519
4396.428,26.656,25.350,7.239
4397.441,25.089,25.280,7.777
4398.453,25.669,25.240,7.600
4399.466,26.764,25.246,7.388
4400.479,23.311,25.125,7.916
4401.493,26.493,24.856,8.256
4402.506,26.395,25.036,8.537
4403.520,26.231,25.197,8.766
4404.534,23.918,25.014,9.091
4405.549,21.088,24.639,9.481
4406.563,23.516,24.505,9.813
4407.578,26.686,24.727,9.629
4408.593,25.996,24.454,9.648
4409.608,27.900,24.513,9.919
4410.624,25.825,24.564,9.460
4411.639,23.903,24.492,10.176
4412.655,26.047,24.615,10.602
4413.671,24.885,24.510,10.430
4414.688,19.990,24.389,9.693
4415.704,22.680,24.311,9.615
4416.721,23.920,24.272,10.381
4417.738,23.855,24.245,10.811
4418.756,24.834,24.222,10.013
4419.773,25.947,24.223,9.277
4420.791,25.084,24.127,10.272
4421.809,22.760,24.020,11.471
4422.827,25.459,24.131,10.380
4423.846,29.929,24.227,9.019
4424.865,21.691,24.004,9.596
4425.884,26.143,24.026,9.483
4426.903,24.181,24.039,9.499
4427.922,35.250,23.983,9.579
4428.942,25.594,23.880,8.735
4429.962,27.357,23.862,8.171
4430.982,24.951,23.978,9.105
4432.003,22.033,23.966,9.350
4433.023,24.411,24.071,9.414
4434.044,23.659,23.927,8.764
4435.065,22.505,23.787,7.945
4436.086,22.737,23.810,7.830
4437.108,25.076,23.815,8.081
4438.130,23.107,23.743,8.374
4439.152,21.305,23.730,9.420
4440.174,22.030,23.656,10.036
4441.197,23.812,23.630,8.899
4442.219,21.897,23.671,8.218
4443.242,23.042,23.590,8.121
4444.266,24.398,23.303,8.310
4445.289,23.123,23.393,8.609
4446.313,23.635,23.779,8.806
4447.337,24.757,23.872,8.886
4448.361,23.274,23.668,8.747
4449.385,23.389,23.634,8.224
4450.410,23.108,23.624,7.840
4451.435,20.957,23.424,7.972
4452.460,24.655,23.598,8.129
4453.485,23.624,23.843,7.769
4454.511,28.215,23.816,6.993
4455.536,28.168,23.676,6.553
4456.562,25.160,23.800,6.771
4457.589,21.556,23.718,7.256
4458.615,22.785,23.754,7.636
4459.642,23.387,23.729,7.384
4460.669,21.892,23.669,6.869
4461.696,22.808,23.745,7.199
4462.724,24.130,23.560,7.839
4463.751,24.448,23.559,7.725
4464.779,22.781,23.598,7.487
4465.808,25.614,23.726,7.622
4466.836,21.006,23.862,8.024
4467.865,26.613,23.867,8.316
4468.893,25.229,23.973,7.708
4469.923,22.344,23.863,7.028
4470.952,24.342,23.562,7.121
4471.982,24.223,23.370,7.221
4473.011,24.702,23.511,7.417
4474.041,25.836,23.825,7.938
4475.072,24.292,23.772,8.120
4476.102,23.213,23.820,7.866
4477.133,24.685,23.904,7.862
4478.164,24.228,23.812,7.772
4479.195,22.281,23.841,7.664
4480.227,23.402,24.167,7.207
4481.259,25.342,23.846,6.845
4482.290,23.231,23.931,7.245
4483.323,24.987,24.090,7.269
4484.355,26.186,24.014,7.589
4485.388,25.054,24.010,8.003
4486.421,23.808,24.287,7.973
4487.454,25.380,23.986,7.699
4488.487,27.900,24.059,7.473
4489.521,26.482,24.281,7.515
4490.555,22.601,24.358,7.613
4491.589,23.155,24.262,7.661
4492.623,25.936,24.171,7.447
4493.658,22.358,24.243,7.486
4494.693,23.230,24.365,8.083
4495.728,21.995,24.273,8.485
4496.763,23.813,24.185,8.220
4497.799,24.012,24.203,8.285
4498.834,23.563,24.165,8.487
