Wavelength,Flux,BestFit,SkyFlux
4588.809,23.800,23.866,8.486
4589.866,21.571,23.653,9.014
4590.923,24.676,23.561,8.462
4591.980,24.246,23.584,7.809
4593.038,23.490,23.450,7.863
4594.095,24.052,23.480,8.111
4595.153,25.116,23.635,7.957
4596.211,24.069,23.743,7.512
4597.270,23.377,23.779,7.592
4598.329,23.972,23.739,8.428
4599.387,24.394,23.644,8.769
4600.447,25.744,23.612,8.249
4601.506,24.524,23.359,7.873
4602.566,23.353,23.297,7.647
4603.626,21.519,23.278,7.714
4604.686,23.658,23.274,7.737
4605.746,27.017,23.449,7.461
4606.807,23.457,23.514,7.770
4607.868,23.602,23.323,7.520
4608.929,24.312,23.426,7.695
4609.990,21.293,23.542,8.586
4611.052,22.392,23.410,8.851
4612.114,24.822,23.271,8.099
4613.176,23.185,23.449,7.781
4614.238,21.973,23.378,8.131
4615.301,22.439,23.254,8.085
4616.364,21.937,23.151,7.997
4617.427,22.372,23.084,8.483
4618.490,22.194,23.126,8.460
4619.553,22.224,23.279,8.120
4620.617,22.929,23.130,7.718
4621.681,21.765,23.129,7.513
4622.746,25.680,23.193,8.277
4623.810,25.146,23.172,8.148
4624.875,24.355,23.139,8.231
4625.940,23.390,23.152,8.387
4627.005,24.333,23.060,7.840
4628.071,24.117,22.875,7.821
4629.137,22.807,22.814,8.027
4630.203,24.677,22.863,8.069
4631.269,24.317,22.815,8.065
4632.335,23.471,22.727,8.193
4633.402,23.253,22.785,8.299
4634.469,21.755,22.721,8.226
4635.536,23.598,22.727,8.149
4636.604,23.091,22.869,8.047
4637.672,22.869,22.911,7.645
4638.740,22.918,22.810,7.673
4639.808,24.537,23.001,7.351
4640.876,22.992,22.899,7.290
4641.945,23.691,22.792,8.254
4643.014,20.418,22.942,8.536
4644.083,22.877,23.097,7.745
4645.153,23.830,22.921,7.144
4646.222,23.528,22.596,7.273
4647.292,22.332,22.634,7.556
4648.363,18.962,22.670,7.331
4649.433,22.461,22.595,7.445
4650.504,24.303,22.671,8.351
4651.575,22.122,22.649,8.738
4652.646,23.919,22.678,8.328
4653.717,21.966,22.673,8.061
4654.789,23.713,22.639,7.897
4655.861,24.308,22.649,7.965
4656.933,23.861,22.712,7.574
4658.006,25.126,22.684,8.085
4659.078,21.316,22.556,9.721
4660.151,22.331,22.607,9.932
4661.224,25.808,22.700,9.085
4662.298,21.887,22.760,9.129
4663.371,23.863,22.855,8.911
4664.445,23.576,22.836,8.896
4665.519,20.581,22.785,8.957
4666.594,21.038,22.726,8.712
4667.668,23.933,22.839,8.277
4668.743,23.833,22.908,8.217
4669.818,21.827,22.678,8.725
4670.894,21.250,22.761,9.365
4671.970,21.174,22.860,9.402
4673.045,22.287,22.782,9.090
4674.122,20.670,22.697,9.469
4675.198,21.648,22.668,9.844
4676.275,22.607,22.660,9.571
4677.351,25.018,22.870,9.517
4678.429,21.702,22.937,9.308
4679.506,24.760,23.004,8.939
4680.584,23.913,22.950,8.460
4681.661,24.112,22.849,8.358
4682.740,24.541,22.902,8.467
4683.818,20.331,22.856,8.625
4684.896,23.379,22.880,8.864
4685.975,22.931,22.836,8.878
4687.054,21.522,22.893,8.722
4688.134,22.913,23.008,8.762
4689.213,21.958,22.949,8.754
4690.293,22.647,22.907,8.280
4691.373,23.193,23.072,7.965
4692.454,22.611,22.984,8.138
4693.534,22.130,22.846,8.140
4694.615,23.324,22.843,7.888
4695.696,25.484,22.864,8.156
4696.778,22.733,22.840,8.659
4697.859,21.874,22.477,8.564
4698.941,23.345,22.477,7.924
4700.023,26.109,22.624,7.398
4701.106,23.357,22.614,7.557
4702.188,24.719,22.538,7.554
4703.271,22.423,22.562,7.755
4704.354,22.631,22.620,7.805
4705.437,19.165,22.485,7.695
4706.521,19.690,22.269,8.223
4707.605,21.403,22.218,8.754
4708.689,20.579,22.357,8.663
4709.773,22.573,22.296,8.487
4710.858,23.002,22.225,8.432
4711.943,24.048,22.288,8.299
4713.028,25.089,22.360,8.010
4714.113,23.544,22.331,8.331
4715.199,19.465,22.260,8.800
4716.285,22.820,22.301,8.644
4717.371,22.217,22.280,8.177
4718.457,20.851,22.154,8.192
4719.544,20.791,22.162,8.660
4720.630,22.250,22.238,8.765
4721.718,21.418,22.123,8.253
4722.805,23.012,22.072,7.863
4723.892,24.001,22.177,7.903
4724.980,22.604,22.262,8.058
4726.068,22.257,22.297,7.956
4727.157,24.890,22.291,7.702
4728.245,22.837,22.251,7.601
4729.334,19.133,22.227,7.994
4730.423,20.967,22.063,8.503
4731.513,22.362,22.023,8.124
4732.602,23.222,22.062,7.500
4733.692,24.061,21.992,8.135
4734.782,22.156,21.837,8.291
4735.872,25.962,21.974,7.802
4736.963,19.758,22.058,7.785
4738.054,20.907,21.994,8.732
4739.145,22.121,22.060,9.428
4740.236,19.769,22.136,8.631
4741.328,23.239,21.953,7.934
4742.420,22.880,22.012,8.649
4743.512,19.359,22.024,8.699
4744.604,22.860,21.980,8.592
4745.697,20.466,22.075,8.323
4746.790,20.098,22.187,8.252
4747.883,22.260,22.088,8.271
4748.976,21.473,22.074,7.925
4750.070,20.337,21.874,7.832
4751.164,19.686,21.881,7.981
4752.258,19.649,21.891,8.081
4753.352,20.314,21.868,8.287
4754.447,19.917,22.005,8.405
4755.542,21.895,22.057,7.796
4756.637,21.505,22.181,7.380
4757.732,21.438,22.241,7.512
4758.828,21.729,22.221,7.427
4759.924,21.365,22.236,7.385
4761.020,25.037,22.284,7.390
4762.116,22.075,22.067,7.577
4763.213,19.910,21.956,7.606
4764.310,23.544,22.041,7.354
4765.407,20.816,22.101,7.120
4766.504,22.229,22.081,7.250
4767.602,21.810,22.099,7.437
4768.700,22.584,22.110,7.261
4769.798,21.007,22.274,7.448
4770.897,21.297,22.289,7.340
4771.995,22.905,22.281,6.981
4773.094,19.806,22.279,7.223
4774.193,21.024,22.165,7.548
4775.293,23.764,22.142,7.678
4776.392,20.748,22.112,7.785
4777.492,23.499,22.176,7.942
4778.593,21.734,22.074,7.915
4779.693,22.580,21.829,7.544
4780.794,24.315,21.806,7.523
4781.895,21.810,22.017,7.570
4782.996,20.918,22.015,7.342
4784.097,23.401,21.996,7.555
4785.199,21.295,21.977,7.875
4786.301,22.073,21.942,7.662
4787.403,20.688,21.939,7.268
4788.506,19.086,21.939,7.427
4789.608,21.098,21.923,7.414
4790.711,21.144,21.965,7.500
4791.815,21.350,22.056,7.824
4792.918,20.612,22.051,7.995
4794.022,20.906,21.931,7.779
4795.126,22.089,22.078,7.291
4796.230,22.051,22.053,7.313
4797.334,21.719,21.843,7.579
4798.439,21.717,21.682,7.885
4799.544,21.405,21.742,8.052
4800.650,21.226,21.920,7.800
4801.755,22.230,21.847,7.502
4802.861,23.546,21.807,7.377
4803.967,21.386,22.015,7.709
4805.073,20.890,22.109,8.158
4806.180,21.222,21.970,7.918
4807.286,19.181,21.874,7.430
4808.393,21.612,21.890,7.332
4809.501,21.531,21.930,7.666
4810.608,22.784,22.082,7.779
4811.716,21.621,22.075,7.495
4812.824,20.681,21.953,7.578
4813.933,23.503,21.983,7.731
4815.041,21.741,21.941,7.665
4816.150,21.828,22.202,7.750
4817.259,20.346,22.255,8.369
4818.368,21.419,22.110,8.771
4819.478,21.869,22.105,8.754
4820.588,21.572,22.296,8.716
4821.698,21.320,22.164,8.901
4822.808,22.104,22.324,9.324
4823.919,21.856,22.101,9.213
4825.030,19.671,21.961,8.828
4826.141,21.778,22.199,8.582
4827.252,23.233,22.413,8.730
4828.364,21.895,22.370,9.132
4829.476,21.416,22.220,9.018
4830.588,22.133,22.283,8.860
4831.700,19.244,22.470,8.959
4832.813,21.979,22.593,9.052
4833.926,23.679,22.562,9.333
4835.039,22.617,22.425,9.639
4836.153,24.633,22.563,9.365
4837.266,20.269,22.637,8.415
4838.380,23.071,22.719,8.678
4839.494,22.284,22.809,9.207
4840.609,21.115,22.748,8.712
4841.724,22.786,22.720,8.891
4842.839,22.247,22.884,9.094
4843.954,21.881,22.850,8.663
4845.069,22.511,22.811,8.210
4846.185,23.275,22.950,8.258
4847.301,22.153,23.116,8.883
4848.417,22.470,23.125,9.196
4849.534,23.604,23.300,8.606
4850.651,22.379,23.387,7.998
4851.768,21.782,23.261,7.952
4852.885,22.820,23.112,8.065
4854.003,23.241,23.187,8.278
4855.120,22.274,23.336,7.964
4856.238,22.799,23.520,7.304
4857.357,25.664,23.410,7.131
4858.475,24.305,23.373,7.232
4859.594,22.873,23.496,7.315
4860.713,22.848,23.466,7.862
4861.833,21.047,23.459,9.117
4862.952,22.079,23.670,9.238
4864.072,24.192,23.755,7.714
4865.192,23.285,23.597,7.104
4866.313,21.644,23.439,7.339
4867.433,22.691,23.560,7.722
4868.554,23.833,23.721,7.508
4869.675,22.865,23.672,7.560
4870.797,23.815,23.757,7.588
4871.918,23.698,23.859,7.043
4873.040,23.263,23.896,6.649
4874.162,24.270,23.963,6.959
4875.285,24.072,23.973,7.224
4876.408,23.386,24.003,7.335
4877.531,22.776,24.044,7.531
4878.654,23.133,23.950,7.453
4879.777,23.414,23.854,7.620
4880.901,24.535,23.997,8.133
4882.025,26.721,24.075,8.210
4883.149,24.143,23.893,8.669
4884.274,22.984,23.954,8.833
4885.399,24.164,24.022,7.926
4886.524,23.859,24.035,7.496
4887.649,23.206,24.151,7.915
4888.774,25.139,23.957,8.065
4889.900,21.900,23.944,7.725
4891.026,22.455,23.902,7.660
4892.153,23.549,23.891,7.506
4893.279,22.536,23.870,8.205
4894.406,21.576,23.729,8.250
4895.533,23.722,23.761,7.999
4896.661,22.620,23.823,8.408
4897.788,23.630,23.816,7.642
4898.916,24.043,23.721,7.282
4900.044,23.410,23.699,7.189
4901.173,25.069,23.830,7.031
4902.301,24.584,23.743,7.451
4903.430,24.347,23.754,7.537
4904.559,24.800,23.730,7.716
4905.689,22.346,23.632,8.178
4906.819,23.876,23.615,8.268
4907.949,24.195,23.742,8.016
4909.079,22.294,23.687,8.104
4910.209,23.750,23.815,7.972
4911.340,24.109,23.743,7.607
4912.471,21.819,23.699,7.540
4913.602,22.944,23.799,7.517
4914.734,23.890,23.819,7.689
4915.866,22.350,23.769,7.991
4916.998,25.058,23.889,7.980
4918.130,22.786,24.019,7.810
4919.263,23.529,23.996,7.784
4920.395,23.684,23.979,7.339
4921.528,22.479,24.137,7.125
4922.662,22.626,24.056,7.168
4923.795,24.996,23.999,7.755
4924.929,24.878,24.079,8.285
4926.063,23.728,24.164,7.495
4927.198,25.675,24.156,6.918
4928.332,27.058,24.135,7.110
4929.467,24.892,24.275,7.241
4930.603,24.189,24.381,7.602
4931.738,25.494,24.244,7.682
4932.874,24.730,24.124,7.908
4934.010,25.789,24.175,7.982
4935.146,26.471,24.268,7.684
4936.282,24.063,24.373,7.744
4937.419,25.580,24.789,7.865
4938.556,28.520,24.909,7.943
4939.693,26.314,24.838,7.829
4940.831,24.401,24.922,7.583
4941.969,23.842,25.135,7.770
4943.107,23.949,25.032,8.282
4944.245,22.927,25.235,8.518
4945.384,23.436,25.391,8.265
4946.523,25.515,25.449,7.763
4947.662,25.156,25.541,7.653
4948.801,24.041,25.702,8.138
4949.941,25.193,25.788,8.230
4951.081,27.136,25.778,7.932
4952.221,25.756,25.905,7.949
4953.361,26.294,26.116,8.345
4954.502,26.315,26.281,8.538
4955.643,26.059,26.347,8.351
4956.784,24.764,26.336,7.436
4957.926,28.130,26.342,7.002
4959.067,27.922,26.220,7.152
4960.209,28.057,26.140,7.277
4961.352,25.877,26.337,7.684
4962.494,27.823,26.777,7.817
4963.637,27.998,27.021,8.229
4964.780,25.458,26.999,8.346
4965.923,26.508,26.991,7.870
4967.067,27.970,27.106,7.955
4968.211,27.743,27.317,8.261
4969.355,27.487,27.492,8.415
4970.499,25.025,27.404,8.624
4971.644,26.589,27.224,8.319
4972.789,28.711,27.199,8.371
4973.934,27.134,27.550,8.694
4975.079,27.638,27.882,8.818
4976.225,28.069,27.711,8.761
4977.371,27.451,27.716,8.918
4978.517,30.619,27.810,9.246
4979.664,28.024,27.804,9.739
4980.810,28.406,27.821,9.750
4981.957,29.222,27.890,9.594
4983.105,28.005,27.931,9.674
4984.252,29.168,28.082,10.003
4985.400,27.465,28.185,9.951
4986.548,26.429,28.131,9.661
4987.696,29.321,28.091,9.504
4988.845,28.801,28.230,9.523
4989.994,28.667,28.435,9.444
4991.143,30.806,28.357,8.757
4992.292,30.258,28.536,8.769
4993.442,30.037,28.787,9.249
4994.592,29.622,28.826,9.068
4995.742,29.598,28.710,8.979
4996.892,29.074,28.685,8.903
4998.043,28.454,28.703,8.424
4999.194,30.714,28.978,8.044
5000.345,29.305,29.019,7.895
5001.497,29.295,28.953,7.785
5002.649,32.166,29.021,7.412
5003.801,30.886,29.134,7.468
5004.953,28.784,28.957,7.946
5006.106,28.858,28.866,8.137
5007.258,28.656,28.873,7.859
5008.411,27.764,28.804,7.638
5009.565,30.687,28.696,7.322
5010.718,28.879,28.694,7.774
5011.872,28.713,28.620,7.844
5013.026,28.309,28.496,7.036
5014.181,28.098,28.536,6.863
5015.336,29.278,28.445,7.428
5016.491,28.962,28.177,7.703
5017.646,28.008,28.036,7.643
5018.801,30.901,27.952,7.269
5019.957,27.736,27.601,7.285
5021.113,27.998,27.593,7.462
5022.269,25.771,27.488,7.720
5023.426,26.898,27.176,7.578
5024.583,25.914,27.025,7.242
5025.740,26.547,26.688,7.266
5026.897,25.298,26.775,7.159
5028.055,27.386,26.689,7.108
5029.213,27.562,26.402,7.053
5030.371,27.284,26.203,7.034
5031.529,27.658,26.169,7.180
5032.688,27.208,25.981,7.558
5033.847,26.034,25.804,7.565
5035.006,27.079,25.700,7.300
5036.166,26.881,25.561,7.310
5037.325,25.142,25.356,7.638
5038.485,26.428,25.195,7.537
5039.646,26.741,25.143,7.050
5040.806,25.534,25.020,6.666
5041.967,23.881,24.911,6.462
5043.128,22.920,24.795,6.422
5044.289,25.917,24.680,6.718
5045.451,27.450,24.634,7.428
5046.613,22.367,24.583,7.548
5047.775,23.709,24.316,7.031
5048.938,24.434,24.099,6.743
5050.100,23.654,24.025,6.787
5051.263,22.586,23.909,6.962
5052.426,23.694,23.596,6.868
5053.590,24.296,23.362,7.142
5054.754,24.812,23.171,7.221
5055.918,25.211,23.303,6.915
5057.082,23.231,23.367,7.230
5058.247,21.951,23.303,7.295
5059.411,22.206,23.345,7.234
5060.577,25.433,23.084,7.731
5061.742,25.157,23.183,7.746
5062.908,22.790,23.115,7.037
5064.073,20.959,22.927,7.767
5065.240,23.087,22.809,7.804
5066.406,21.033,22.682,7.374
5067.573,21.612,22.414,7.359
5068.740,22.986,22.484,7.125
5069.907,23.986,22.424,7.469
5071.075,23.212,22.435,7.594
5072.242,22.296,22.459,7.366
5073.410,23.282,22.125,6.940
5074.579,24.160,21.869,6.589
5075.747,21.243,22.095,7.106
5076.916,22.780,22.025,7.252
5078.085,22.242,21.889,7.046
5079.255,22.185,21.844,6.917
5080.424,22.231,21.610,6.875
5081.594,20.957,21.355,7.688
5082.765,19.774,21.543,8.390
5083.935,23.439,21.502,8.324
5085.106,20.904,21.427,8.316
5086.277,22.695,21.421,8.617
5087.448,20.230,21.266,9.257
5088.620,20.571,21.200,8.841
5089.792,21.112,21.129,7.986
5090.964,21.770,21.126,7.583
5092.136,21.131,21.092,7.506
5093.309,20.360,21.006,7.418
5094.482,20.375,20.930,7.371
5095.655,19.128,20.811,7.505
5096.828,17.104,20.978,7.565
5098.002,19.069,20.940,7.577
5099.176,21.170,20.844,7.419
5100.350,21.220,20.857,7.471
5101.525,20.462,20.876,7.637
5102.700,21.490,20.875,7.361
5103.875,21.957,20.740,6.987
5105.050,21.867,20.704,6.948
5106.226,21.760,20.654,6.998
5107.402,19.210,20.524,7.146
5108.578,19.899,20.449,7.355
5109.754,21.195,20.481,7.335
5110.931,19.970,20.470,6.650
5112.108,22.120,20.528,6.518
5113.285,21.913,20.598,7.206
5114.463,21.745,20.537,7.104
5115.640,21.879,20.338,6.996
5116.818,21.481,20.275,7.143
5117.997,20.368,20.343,7.250
5119.175,20.351,20.378,7.222
5120.354,20.311,20.343,7.017
5121.533,22.506,20.310,6.944
5122.713,20.520,20.331,6.574
5123.892,19.123,20.302,6.664
5125.072,20.030,20.264,6.760
5126.253,20.120,20.178,6.389
5127.433,21.072,20.081,6.471
5128.614,20.188,20.031,6.894
5129.795,20.217,20.006,7.019
5130.976,20.499,19.904,7.149
5132.158,19.882,20.073,7.267
5133.340,19.790,19.978,7.521
5134.522,21.186,19.725,7.360
5135.704,20.950,19.682,7.348
5136.887,21.390,19.871,8.102
5138.070,20.731,19.780,8.446
5139.253,19.354,19.804,7.939
5140.437,19.295,19.714,7.558
5141.620,18.087,19.572,7.519
5142.804,19.894,19.576,7.606
5143.989,20.231,19.665,7.738
5145.173,19.590,19.448,7.332
5146.358,19.035,19.595,7.545
5147.543,19.736,19.575,7.720
5148.729,20.830,19.477,8.124
5149.914,19.378,19.429,8.195
5151.100,18.962,19.383,8.049
5152.286,19.361,19.486,8.122
5153.473,19.107,19.256,8.268
5154.660,18.800,19.202,8.909
5155.847,20.446,19.253,8.381
5157.034,18.639,19.187,7.941
5158.222,19.158,19.071,7.915
5159.410,19.491,19.148,7.773
5160.598,18.612,19.118,8.136
5161.786,19.777,19.159,7.758
5162.975,20.477,19.140,7.848
5164.164,19.355,19.133,7.647
5165.353,17.552,19.277,7.311
5166.542,18.558,19.116,7.373
5167.732,16.710,19.140,6.855
5168.922,18.619,19.082,6.090
5170.113,18.724,19.007,6.414
5171.303,18.571,19.015,6.918
5172.494,19.961,19.042,6.205
5173.685,18.677,19.040,6.075
5174.877,18.058,19.087,6.620
5176.068,20.119,18.998,7.030
5177.260,17.710,18.941,7.110
5178.453,17.492,18.994,7.060
5179.645,19.729,19.029,7.151
5180.838,21.119,19.028,6.725
5182.031,18.483,18.866,6.369
5183.224,19.711,18.787,5.886
5184.418,17.882,18.630,5.445
5185.612,19.487,18.472,5.921
5186.806,21.539,18.589,6.861
5188.000,18.803,18.705,7.559
5189.195,17.683,18.851,8.122
5190.390,19.876,18.813,7.869
5191.585,21.236,18.787,7.195
5192.781,18.353,18.900,7.008
5193.977,18.471,18.978,6.813
5195.173,17.298,18.854,6.934
5196.369,19.333,18.892,6.997
5197.566,18.313,18.801,11.634
5198.763,18.902,18.743,19.178
5199.960,17.916,18.782,22.183
5201.157,18.263,18.774,19.335
5202.355,19.269,18.838,15.132
5203.553,20.426,18.701,10.678
5204.752,20.360,18.831,8.335
5205.950,18.442,18.913,7.471
5207.149,20.056,18.779,6.806
5208.348,18.699,18.732,6.689
5209.547,22.102,18.805,6.560
5210.747,21.095,18.717,6.966
5211.947,19.258,18.729,7.388
5213.147,16.814,18.838,7.334
5214.348,18.840,18.840,7.177
5215.549,18.225,18.713,7.322
5216.750,19.570,18.859,6.839
5217.951,19.884,18.801,6.603
5219.153,20.039,18.812,7.346
5220.355,19.140,18.889,8.052
5221.557,18.122,18.954,7.847
5222.759,16.761,18.981,7.864
5223.962,17.312,18.860,8.013
5225.165,19.632,18.803,8.770
5226.368,17.756,18.745,8.592
5227.572,19.461,18.785,7.153
5228.776,19.794,18.819,6.666
5229.980,18.408,18.724,6.771
5231.184,19.527,18.895,7.339
5232.389,18.997,18.841,7.784
5233.594,20.317,18.698,7.603
5234.799,18.645,18.704,6.962
5236.004,19.632,18.789,6.599
5237.210,19.661,18.780,6.754
5238.416,18.130,18.897,7.947
5239.623,21.294,18.800,9.272
5240.829,19.886,18.799,9.232
5242.036,18.053,18.807,8.029
5243.243,17.376,18.646,7.244
5244.451,19.265,18.440,7.070
5245.658,18.601,18.612,6.873
5246.866,19.464,18.709,6.964
5248.075,17.897,18.613,7.165
5249.283,18.574,18.566,7.362
5250.492,18.076,18.635,7.606
5251.701,18.357,18.669,7.466
5252.910,16.785,18.719,7.177
5254.120,19.549,18.751,7.197
5255.330,19.655,18.711,7.558
5256.540,19.543,18.674,8.451
5257.751,19.690,18.632,9.305
5258.962,19.587,18.524,8.431
5260.173,17.385,18.510,7.242
5261.384,20.304,18.632,7.270
5262.596,19.312,18.616,6.734
5263.808,15.801,18.567,6.609
5265.020,18.024,18.634,6.526
5266.232,18.327,18.711,6.283
5267.445,18.096,18.514,6.218
5268.658,18.647,18.549,6.462
5269.871,18.632,18.545,6.400
5271.085,18.307,18.519,6.244
5272.299,19.668,18.540,6.863
5273.513,20.677,18.519,7.096
5274.727,16.699,18.406,7.031
5275.942,16.407,18.572,7.495
5277.157,18.197,18.592,8.354
5278.372,18.488,18.550,8.026
5279.588,19.382,18.538,6.852
5280.803,18.561,18.457,7.013
5282.019,16.734,18.407,6.746
5283.236,18.642,18.407,6.797
5284.453,16.687,18.316,7.187
5285.669,17.192,18.274,7.025
5286.887,18.628,18.291,7.114
5288.104,17.063,18.263,7.185
5289.322,17.761,18.368,7.149
5290.540,17.805,18.272,7.009
5291.758,19.344,18.165,6.933
5292.977,19.697,18.162,7.170
5294.196,19.322,18.238,7.233
5295.415,17.294,18.312,7.132
5296.634,21.664,18.326,6.981
5297.854,18.033,18.215,6.824
5299.074,18.744,18.256,7.245
5300.294,18.537,18.341,7.722
5301.515,17.667,18.336,7.669
5302.736,17.340,18.287,7.157
5303.957,17.606,18.263,7.124
5305.178,18.772,18.255,7.320
5306.400,17.646,18.249,7.612
5307.622,17.515,18.248,7.750
5308.844,18.016,18.193,7.514
5310.067,19.357,18.105,7.679
5311.290,19.468,18.251,7.712
5312.513,17.177,18.158,7.404
5313.736,17.224,18.045,8.301
5314.960,17.812,18.058,8.182
5316.184,18.887,18.040,7.312
5317.408,18.869,17.915,7.254
5318.633,19.385,18.146,7.100
5319.858,18.490,18.145,7.235
5321.083,18.540,18.102,7.805
5322.308,18.509,18.038,7.514
5323.534,18.939,17.975,7.548
5324.760,19.196,18.016,7.863
5325.986,18.885,18.059,7.703
5327.212,18.094,17.974,7.510
5328.439,16.414,17.901,7.298
5329.666,16.730,17.855,7.042
5330.893,17.573,17.747,7.752
5332.121,17.079,17.547,8.467
5333.349,19.656,17.432,8.102
5334.577,19.253,17.463,7.368
5335.806,18.175,17.768,7.419
5337.034,18.401,17.944,7.591
5338.263,17.993,17.925,7.662
5339.493,16.660,18.049,7.589
5340.722,18.127,18.169,7.114
5341.952,19.236,17.977,7.060
5343.182,18.665,17.970,7.199
5344.413,18.073,17.914,7.272
5345.644,17.419,17.682,7.049
5346.875,18.181,17.552,6.872
5348.106,17.852,17.579,7.109
5349.338,19.073,17.771,7.096
5350.569,19.022,18.000,7.622
5351.802,19.047,18.105,7.911
5353.034,18.447,18.074,7.386
5354.267,18.628,18.019,7.229
5355.500,17.370,17.970,7.632
5356.733,16.501,17.998,8.426
5357.967,17.736,17.978,8.255
5359.200,19.225,18.052,7.708
5360.435,17.634,18.150,7.285
5361.669,18.248,18.066,7.085
5362.904,19.250,18.085,6.876
5364.139,18.362,18.140,6.672
5365.374,17.349,18.114,6.619
5366.610,17.064,18.117,6.857
5367.845,17.012,18.110,7.122
5369.082,19.055,18.047,7.319
5370.318,17.787,18.302,6.800
5371.555,19.348,18.243,6.955
5372.792,17.462,18.136,7.404
5374.029,18.227,18.078,7.127
5375.266,16.549,18.104,7.599
5376.504,17.329,18.182,7.688
5377.742,19.598,18.049,7.506
5378.981,18.966,18.146,7.199
5380.220,17.005,18.171,7.206
5381.459,18.872,18.101,7.134
5382.698,20.147,18.052,6.916
5383.937,18.993,18.093,6.556
5385.177,18.533,18.212,6.826
5386.417,17.136,18.111,7.093
5387.658,18.301,18.224,7.110
5388.898,17.177,18.302,7.143
5390.139,17.113,18.235,7.196
5391.381,17.413,18.298,7.192
5392.622,19.264,18.413,7.102
5393.864,17.365,18.398,7.449
5395.106,17.762,18.457,7.104
5396.349,19.129,18.459,6.810
5397.591,16.929,18.379,6.774
5398.834,18.378,18.404,7.005
5400.078,17.982,18.486,7.102
5401.321,16.106,18.410,6.827
5402.565,17.008,18.457,6.715
5403.809,19.201,18.437,6.750
5405.054,18.634,18.317,6.632
5406.298,18.056,18.402,6.584
5407.543,18.257,18.695,6.412
5408.789,19.133,18.602,6.660
5410.034,16.985,18.382,7.148
5411.280,16.328,18.471,7.165
5412.526,17.612,18.663,7.196
5413.772,18.867,18.500,7.134
5415.019,17.134,18.472,6.981
5416.266,17.601,18.567,6.759
5417.513,17.040,18.585,6.956
5418.761,17.754,18.614,7.262
5420.009,16.614,18.607,7.174
5421.257,20.243,18.504,7.076
5422.505,18.495,18.749,7.234
5423.754,18.210,18.782,7.389
5425.003,19.214,18.568,7.037
5426.253,18.690,18.498,6.623
5427.502,19.667,18.611,7.133
5428.752,18.894,18.583,7.181
5430.002,18.467,18.470,6.750
5431.253,18.501,18.571,6.600
5432.503,18.095,18.731,6.932
5433.754,16.969,18.721,7.503
5435.006,18.968,18.613,7.146
5436.257,19.053,18.621,7.135
5437.509,18.718,18.570,7.420
5438.761,17.164,18.523,7.512
5440.014,19.552,18.489,7.597
5441.267,19.091,18.437,7.374
5442.520,18.850,18.365,7.337
5443.773,18.388,18.333,7.410
5445.027,18.321,18.412,7.221
5446.280,19.010,18.565,6.957
5447.535,18.223,18.613,7.074
5448.789,17.356,18.612,7.139
5450.044,18.577,18.524,7.363
5451.299,18.626,18.343,7.456
5452.554,17.589,18.500,7.788
5453.810,17.621,18.446,7.655
5455.066,18.089,18.470,7.262
5456.322,17.054,18.614,7.046
5457.579,19.437,18.652,7.312
5458.835,17.943,18.490,8.137
5460.092,16.568,18.509,12.932
5461.350,20.289,18.486,24.143
5462.608,20.704,18.522,29.369
5463.865,17.865,18.536,20.909
5465.124,18.474,18.472,11.904
5466.382,17.603,18.408,9.460
5467.641,18.667,18.404,8.563
5468.900,18.520,18.356,8.268
5470.160,18.459,18.352,7.947
5471.419,20.182,18.335,7.784
5472.679,18.923,18.278,7.814
5473.940,19.145,18.257,7.190
5475.200,19.371,18.302,7.792
5476.461,19.340,18.352,7.590
5477.722,18.783,18.268,7.162
5478.984,17.670,18.303,7.581
5480.245,18.223,18.369,7.344
5481.507,17.475,18.158,7.657
5482.770,17.839,18.096,7.966
5484.032,15.625,18.161,8.420
5485.295,20.781,18.184,8.483
5486.558,19.118,18.141,7.839
5487.822,17.133,18.103,7.940
5489.086,16.401,18.102,7.647
5490.350,18.044,18.042,7.363
5491.614,19.318,18.031,7.483
5492.879,19.020,18.031,7.576
5494.144,17.356,18.017,7.605
5495.409,17.054,18.029,7.467
5496.674,18.974,18.069,7.371
5497.940,17.830,18.006,7.685
5499.206,18.166,18.007,7.689
5500.473,17.594,17.948,7.786
5501.739,17.930,17.927,7.962
5503.006,18.919,17.957,7.777
5504.273,19.880,17.928,7.658
5505.541,17.915,17.906,7.557
5506.809,17.061,17.799,7.553
5508.077,15.749,17.825,7.714
5509.345,17.136,17.907,7.625
5510.614,17.069,17.917,7.612
5511.883,16.373,17.867,8.219
5513.152,19.572,17.841,7.682
5514.422,17.617,17.738,8.017
5515.692,16.877,17.729,8.851
5516.962,15.774,17.718,8.249
5518.233,18.505,17.734,8.055
5519.503,16.794,17.853,7.935
5520.774,18.600,17.719,8.418
5522.046,19.088,17.670,8.901
5523.317,17.669,17.570,8.480
5524.589,18.136,17.561,7.694
5525.862,17.548,17.647,7.901
5527.134,16.761,17.636,7.717
5528.407,16.281,17.605,7.707
5529.680,17.012,17.543,7.478
5530.953,19.239,17.542,7.178
5532.227,19.729,17.515,7.317
5533.501,18.711,17.461,7.384
5534.775,18.729,17.471,7.621
5536.050,18.894,17.454,7.409
5537.325,17.401,17.510,7.763
5538.600,17.363,17.513,7.793
5539.875,16.339,17.480,7.563
5541.151,15.652,17.416,8.129
5542.427,19.368,17.280,8.418
5543.704,17.267,17.165,8.790
